cluster_id,pdb_code,pKd,dG,partition,partition_id,protein_name,subset_H,subset_S,subset_V,num_decoy_poses
1,2xb8,7.59,-10.3224,"(-10.815, -9.466]",6,3-Dehydroquinate dehydratase,H1,S3,V2,69
1,3n76,6.85,-9.316,"(-9.466, -8.116]",5,3-Dehydroquinate dehydratase,H1,S3,V2,61
1,3n7a,3.7,-5.032000000000001,"(-5.418, -4.069]",2,3-Dehydroquinate dehydratase,H1,S3,V2,51
1,3n86,5.64,-7.6704,"(-8.116, -6.767]",4,3-Dehydroquinate dehydratase,H1,S3,V2,56
1,4ciw,4.82,-6.555200000000001,"(-6.767, -5.418]",3,3-Dehydroquinate dehydratase,H1,S3,V2,44
2,1nc1,6.12,-8.3232,"(-9.466, -8.116]",5,5'-Methylthioadenosine/s-adenosylhomocysteine nucleosidase,H2,S3,V3,74
2,1nc3,5.0,-6.800000000000001,"(-8.116, -6.767]",4,5'-Methylthioadenosine/s-adenosylhomocysteine nucleosidase,H2,S3,V3,55
2,1y6r,10.11,-13.749600000000001,"(-14.862, -13.513]",9,5'-Methylthioadenosine/s-adenosylhomocysteine nucleosidase,H2,S3,V3,56
2,4f2w,11.3,-15.368000000000002,"(-16.225, -14.862]",10,5'-Methylthioadenosine/s-adenosylhomocysteine nucleosidase,H2,S3,V3,75
2,4f3c,11.82,-16.075200000000002,"(-16.225, -14.862]",10,5'-Methylthioadenosine/s-adenosylhomocysteine nucleosidase,H2,S3,V3,94
3,3u8k,8.66,-11.777600000000001,"(-12.164, -10.815]",7,Acetylcholine-binding protein,H3,S3,V3,72
3,3u8n,10.17,-13.8312,"(-14.862, -13.513]",9,Acetylcholine-binding protein,H3,S3,V3,61
3,3zdg,7.1,-9.656,"(-10.815, -9.466]",6,Acetylcholine-binding protein,H3,S3,V3,55
3,4qac,9.4,-12.784,"(-13.513, -12.164]",8,Acetylcholine-binding protein,H3,S3,V3,93
3,3wtj,6.53,-8.8808,"(-9.466, -8.116]",5,Acetylcholine-binding protein,H3,S3,V3,60
4,1e66,9.89,-13.450400000000002,"(-13.513, -12.164]",8,Acetylcholinesterase,H3,S2,V3,70
4,1gpk,5.37,-7.3032,"(-8.116, -6.767]",4,Acetylcholinesterase,H3,S2,V3,64
