Time (ps),Temperature
0,0
0.2,27.9
0.4,27.28
0.6,24.64
0.8,23.99
1,24.18
1.2,23.34
1.4,23.47
1.6,24.94
1.8,26.47
2,28.62
2.2,33.02
2.4,34.49
2.6,36.49
2.8,39.53
3,42.83
3.2,46.07
3.4,49.04
3.6,52.59
3.8,56.13
4,58.87
4.2,61.48
4.4,67.32
4.6,69.49
4.8,70.76
5,72.18
5.2,78.47
5.4,81.51
5.6,86.92
5.8,90.34
6,94.2
6.2,95.74
6.4,98.39
6.6,100.18
6.8,104.74
7,113.83
7.2,117.84
7.4,115.23
7.6,119.38
7.8,124.24
8,123.9
8.2,127.61
8.4,132.55
8.6,135.22
8.8,138.15
9,138.01
9.2,145.37
9.4,144.88
9.6,151.16
9.8,156.74
10,156.06
10.2,160.46
10.4,164.53
10.6,171.5
10.8,173.13
11,167.83
11.2,176.26
11.4,179.06
11.6,189.08
11.8,192.58
12,198.48
12.2,192.26
12.4,195.15
12.6,196.34
12.8,201.62
13,206.84
13.2,210.03
13.4,213.02
13.6,219.04
13.8,221.62
14,223.49
14.2,225.6
14.4,233.67
14.6,233.71
14.8,239.79
15,247.25
15.2,256.34
15.4,248.74
15.6,245.66
15.8,254.62
16,258.89
16.2,258.01
16.4,262.73
16.6,257.28
16.8,274
17,268.48
17.2,284.06
17.4,279.83
17.6,281.01
17.8,289.29
18,293.39
18.2,288.51
18.4,290.38
18.6,290.63
18.8,286.9
19,310.11
19.2,289.17
19.4,307.19
19.6,306.61
19.8,289.16
20,301.36
20.2,296.16
20.4,298.79
20.6,304.34
20.8,286.58
21,306.21
21.2,295.96
21.4,298.94
21.6,300.88
21.8,303.63
22,300.06
22.2,303.91
22.4,314.79
22.6,299.26
22.8,303.68
23,295.94
23.2,296.54
23.4,302.31
23.6,295.73
23.8,294.74
24,301.15
24.2,291.56
24.4,288.08
24.6,289.82
24.8,300.66
25,296.83
25.2,300.23
25.4,297.79
25.6,299.96
25.8,288.97
26,297.08
26.2,291.79
26.4,296.48
26.6,302.64
26.8,311.08
27,283.55
27.2,304.8
27.4,304.65
27.6,297.17
27.8,302.89
28,293.61
28.2,298.43
28.4,310.38
28.6,297.65
28.8,299.88
29,305.03
29.2,305.55
29.4,303.61
29.6,296.75
29.8,305.01
30,293.73
30.2,311.83
30.4,298.81
30.6,296.58
30.8,292.41
31,308.46
31.2,302.93
31.4,290.08
31.6,306.8
31.8,307.3
32,296.3
32.2,296.05
32.4,294.68
32.6,295.45
32.8,293.6
33,302.35
33.2,302.06
33.4,295.64
33.6,300.55
33.8,292.68
34,291.66
34.2,298.67
34.4,302.19
34.6,299.33
34.8,303.41
35,304.15
35.2,299.67
35.4,300.83
35.6,296.94
35.8,300.62
36,306.22
36.2,312.14
36.4,296.09
36.6,293.43
36.8,302.69
37,300.79
37.2,296.59
37.4,299.21
37.6,311.64
37.8,305.53
38,309.16
38.2,302.15
38.4,306.86
38.6,299.4
38.8,288.65
39,292.52
39.2,303.34
39.4,294.8
39.6,297.91
39.8,297.28
40,298.94
40.2,296.58
40.4,299.98
40.6,301.65
40.8,296.02
41,285.82
41.2,295.28
41.4,297.54
41.6,295.54
41.8,301.56
42,305.68
42.2,293.69
42.4,307.01
42.6,300.54
42.8,297.89
43,298.72
43.2,301.9
43.4,307.17
43.6,302.63
43.8,301.45
44,294.63
44.2,301.14
